question_index,version,errors_context,errors_question,errors_ans0,errors_ans1
5,,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': '...r gitana, que se quedó dentro del coche abochornada.', 'matched_text': 'abochornada', 'error_message': 'Revise la concordancia de «abochornada» con los nombres precedentes o revise la puntuación.', 'error_replacement': ['abochornado']}]",,,
5,,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': '...r blanca, que se quedó dentro del coche abochornada.', 'matched_text': 'abochornada', 'error_message': 'Revise la concordancia de «abochornada» con los nombres precedentes o revise la puntuación.', 'error_replacement': ['abochornado']}]",,,
5,,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': '...del Este, que se quedó dentro del coche abochornada.', 'matched_text': 'abochornada', 'error_message': 'Revise la concordancia de «abochornada» con los nombres precedentes o revise la puntuación.', 'error_replacement': ['abochornado']}]",,,
5,,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': '...er árabe, que se quedó dentro del coche abochornada.', 'matched_text': 'abochornada', 'error_message': 'Revise la concordancia de «abochornada» con los nombres precedentes o revise la puntuación.', 'error_replacement': ['abochornado']}]",,,
5,,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': '...er negra, que se quedó dentro del coche abochornada.', 'matched_text': 'abochornada', 'error_message': 'Revise la concordancia de «abochornada» con los nombres precedentes o revise la puntuación.', 'error_replacement': ['abochornado']}]",,,
5,p,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': '..., Fátima, que se quedó dentro del coche abochornada.', 'matched_text': 'abochornada', 'error_message': 'Revise la concordancia de «abochornada» con los nombres precedentes o revise la puntuación.', 'error_replacement': ['abochornado']}]",,,
5,p,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': '..., Carmen, que se quedó dentro del coche abochornada.', 'matched_text': 'abochornada', 'error_message': 'Revise la concordancia de «abochornada» con los nombres precedentes o revise la puntuación.', 'error_replacement': ['abochornado']}]",,,
5,p,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': '...a, María, que se quedó dentro del coche abochornada.', 'matched_text': 'abochornada', 'error_message': 'Revise la concordancia de «abochornada» con los nombres precedentes o revise la puntuación.', 'error_replacement': ['abochornado']}]",,,
5,p,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': '...atoumata, que se quedó dentro del coche abochornada.', 'matched_text': 'abochornada', 'error_message': 'Revise la concordancia de «abochornada» con los nombres precedentes o revise la puntuación.', 'error_replacement': ['abochornado']}]",,,
5,p,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': '...a, Saray, que se quedó dentro del coche abochornada.', 'matched_text': 'abochornada', 'error_message': 'Revise la concordancia de «abochornada» con los nombres precedentes o revise la puntuación.', 'error_replacement': ['abochornado']}]",,,
5,p,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': '...a, Iryna, que se quedó dentro del coche abochornada.', 'matched_text': 'abochornada', 'error_message': 'Revise la concordancia de «abochornada» con los nombres precedentes o revise la puntuación.', 'error_replacement': ['abochornado']}]",,,
