template_id,version,instances
1,,60
1,p,96
2,,24
2,p,24
3,,24
3,p,24
4,,72
4,p-a,96
4,p-b,96
5,,48
5,p,72
6,,48
7,,60
8,a,12
8,b,12
8,p-a,24
8,p-b,24
9,,24
9,p,48
10,a,12
10,b,12
10,p-a,24
10,p-b,24
11,,24
11,p,24
12,,24
13,,24
14,a,36
14,b,36
14,p-a,48
14,p-b,48
15,,24
15,p,24
16,,84
16,p-a,144
16,p-b,144
17,,72
17,p-a,120
17,p-b,120
18,,72
18,p,120
19,,24
19,p,24
20,,84
20,p-a,144
20,p-b,144
21,,12
21,p-a,24
21,p-b,24
22,,24
22,p-a,24
22,p-b,24
23,,12
23,p-a,24
23,p-b,24
24,,12
24,p-a,24
24,p-b,24
25,,84
26,,84
27,a,40
27,b,40
28,a,12
28,b,12
29,a,24
29,b,24
30,a,12
30,b,12
31,,36
32,,12
33,,24
34,a,12
34,b,12
35,a,12
35,b,12
36,a,24
36,b,24
37,,36
38,,12
39,,24
40,,24
41,,12
42,,12
43,,12
44,,12
44,p,24
45,,24
46,,24
47,,48
48,,24
49,,12
49,p,24
50,,12
50,p,24
51,a,12
51,b,12
